Unnamed: 0.1,Unnamed: 0,Item,Cost,size,Likes,ImgLink,Wear,Category
26,26,Like New! Nike Huarache Run,30.0,Size: 7,28.0,,,
9,9,Nike Zoomy Fly 3 Vaporweave Pink Womens US Size 9 AT8241-591 Running Shoes,29.0,Size: 9,1.0,https://di2ponv0v5otw.cloudfront.net/posts/2022/07/26/62e09db4948fa02bc0d594af/s_62e09e738da5c91b51ba1878.jpeg,,
2,2,Nike tshirt NWT,25.0,Size: Various,5.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/05/17/64656f6e91e0539aa05ecc89/s_64656fc1bd66cddd066be9ac.jpg,,
20,20,NWOT Nike Dri-Fit Running Capri Tights,25.0,Size: XS,,,,
37,37,Nike Jr Bravata II FG Girl's Soccer Cleats Children Size 10C Pink 844442-600,24.0,Size: 10 (Toddler Girl),,,,
39,39,Nike Zoom Strike,24.0,Size: 9.5,3.0,,,
30,30,Men's Nike Gray Lounge Shorts Size Small,20.0,Size: S,1.0,,,
13,13,Nike outfit 24m,20.0,Size: 24M,,,,
32,32,Nike Dry-Fit pink racerback tank,20.0,Size: S,,,,
40,40,Green Nike Dri-Fit Athletic Shorts,19.0,Size: M,5.0,,,
43,43,Nike Fit Dry womans hot Pink run shirt crew neck size xl,18.0,Size: XL,1.0,,,
27,27,Nike Women's CZ9086-631 Tank Top Size XS NWT,18.0,Size: XS,2.0,,,
46,46,Womens Nike shirt size large,18.0,Size: L,1.0,,,
0,0,Nike Women's CZ9086-631 Tank Top Size Large NWT,18.0,Size: L,19.0,https://di2ponv0v5otw.cloudfront.net/posts/2022/04/20/62606062c693bd051cbedbb0/s_62606075941f171506d78359.jpg,,
18,18,Nike half zip - size medium green,18.0,Size: M,11.0,,,
44,44,Dri-fit Nike Running shorts,17.0,Size: XS,,,,
25,25,Nike Dri-Fit Basketball Athletic Shorts With Pockets Blue Large,15.0,Size: L,4.0,,,
17,17,Nike S Black Capri Workout Pant,14.0,Size: S,,,,
19,19,Nike Fit-Dry Pink Key Hole Built-In Bra Racerback Tank Top size Medium,13.0,Size: M,1.0,,,
45,45,Mens Blue Nike T Shirt,13.0,Size: M,,,,
42,42,𝅺YOUTH Nike Dri-fit running shorts,12.0,Size: XL (Girl),2.0,,,
22,22,Nike Gray Dri-Fit Short Sleeve Shirt,12.0,Size: XL,1.0,,,
4,4,🌹Nike Dri Fit Ole Miss Rebels Football 1/4 Zip Pullover Sweatshirt Fitnes…,12.0,Size: S,2.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/06/03/647bcd97f51a0f275c987673/s_647bcd97f51a0f275c987674.jpg,,
10,10,Women’s Nike Tempo Shorts Size Small LIKE NEW CONDITION,11.0,Size: S,2.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/05/10/645b7b7efb730403e0c222ee/s_645b7b8bfed51f13e54ba064.jpg,,
31,31,NIKE Dri-Fit Lightweight Purple Racerback Tank Top Womens Size Large,10.0,Size: L,1.0,,,
14,14,Nike shorts,7.0,Size: M,1.0,,,
