,Unnamed: 0,Item,Cost,size,Wear,Category
64,17,Nike Air Jordan 11 Retro Low Cement Grey Mens GS PS & TD AV2187-140 NEW,147.19,,Brand New,Brand New
65,18,Nike Air Jordan 1 Mid Banned Black Red White 554724-074 Mens and GS New,119.99,,Brand New,Brand New
66,19,Nike Air Jordan 1 Retro High OG Heritage Red White 555088-161 Men's 575441-16 GS,159.99,,Brand New,Brand New
67,20,Nike Air Jordan 11 Retro Low Cement Grey Mens GS PS & TD AV2187-140 NEW,82.79,,Brand New,Brand New
68,21,Nike Air Force 1 Low '07 White (CW2288-111) Men Size 7-15,100.0,,Brand New,Brand New
69,22,Size 8.5 - Nike Dunk Low SB Sandy Bodecker,250.0,,Brand New,Brand New
70,23,Nike Dunk Low Black White Panda (DD1391-100) Men's Size 8-11.5,169.0,,Brand New,Brand New
71,24,Nike Air Max 95 Halloween Black Iron Grey Safety Orange DX2657-001 Men's Retro,119.99,,Brand New,Brand New
72,25,Nike Air Jordan 1 Mid Banned Black Red White 554724-074 Mens and GS New,99.99,,Brand New,Brand New
73,26,Nike Air Jordan 1 Retro High OG Heritage Red White 555088-161 Men's 575441-16 GS,119.99,,Brand New,Brand New
74,27,Nike Air Max 1 Travis Scott Cactus Jack DO9392-701 Fashion Shoes,213.9,,Brand New,Brand New
75,28,Nike Air Jordan Jordan 4 Retro Thunder (2023) Youth shoes 408452-017  sz 4y-7y,165.0,,Brand New,Brand New
76,29,Nike Air Force 1 '07 White CW2288-111,100.0,,Brand New,Brand New
77,30,Nike Air Jordan 1 Mid Alternate Bred Chicago DQ8426-060 Mens New 2022,104.87,,Brand New,Brand New
78,31,Nike Air Jordan 1 KO Low Kentucky Dark Royal Blue White DX4981-103 Mens New,105.75,,Brand New,Brand New
79,32,"Nike Dunk Low Retro Shoes ""Red Panda"" Black White FB3354-001 Men's Sizes NEW",139.9,,Brand New,Brand New
80,33,New NIKE Air Max SC Athletic Sneakers shoes casual Mens white red navy 8-12,89.95,,Brand New,Brand New
81,34,NEW! Nike Air Jordan 1 Retro High OG Skyline DX0054-805 (Mens),129.99,,Brand New,Brand New
82,35,Nike Air Force 1 '07 Black White Panda DV0788-001 Men's Size 9 - 13 Shoes #128,109.97,,Brand New,Brand New
83,36,Nike Air Jordan 1 Low Men's Triple White Multi Size New 553558-136,141.95,,Brand New,Brand New
84,37,Nike Nike Dunk Low Retro [DV0831-002],130.0,,Brand New,Brand New
85,38,Nike Superfly 8 Elite FG Progress Pack Grey Soccer Cleats DJ2839-054 Mens 8-10.5,209.99,,Brand New,Brand New
86,39,Nike Air Jordan Stay Loyal Men’s White Gray Red ALL SIZE 8 to 13 New DB2884-105,108.95,,Brand New,Brand New
87,40,Nike Air Jordan 1 Low Black Medium Particle Grey White Men AJ1 Shoes 553558-040,149.99,,Brand New,Brand New
88,41,Nike Dunk Low Retro White Black Panda Black White Mens DD1391-100 NEW,139.99,,Brand New,Brand New
89,42,Nike Men's Air Max 90 Triple White Shoes Sneakers Trainers (CN8490-100) New,109.95,,Brand New,Brand New
90,43,Nike AIR MONARCH IV Men White Blue 102 Walking Shoe Medium & WIDE WIDTH 4E EEEE,64.95,,Brand New,Brand New
91,44,Nike Air Jordan 3 Retro Shoes White Cement Reimagined DN3707-100 Men's GS PS TD,100.99,,Brand New,Brand New
92,45,Nike Free Run 5.0 '21 Black White Dark Smoke Grey CZ1884-001 Men Sz 7-13 Runner,68.88,,Brand New,Brand New
93,46,Nike Phantom GT2 Elite DF FG Progress Pack Grey Blue Soccer Cleats Men's 12,159.99,,Brand New,Brand New
94,47,Nike Air Max 90 Shoes Iron Grey White Black CN8490-002 Men's Multi Size NEW,114.9,,Brand New,Brand New
95,48,Nike Air Jordan 3 Retro White Cement Reimagined DM0967-100 GS New,150.0,,Brand New,Brand New
96,49,Nike Air Force 1 Mid React Pure Platinum Black White Sneakers DV0784-001 Mens,134.97,,Brand New,Brand New
97,50,Nike Air Jordan 1 Mid Shoes Black Fire Red White DQ8426-060 Men's & GS Sizes NEW,100.0,,Brand New,Brand New
98,51,Nike Air Force 1 '07 Shoes White Wolf Grey DV0788-100 Men's Multi Size NEW,104.9,,Brand New,Brand New
99,52,Nike AIR MONARCH IV Mens Black 001 Walking Shoes Medium & WIDE WIDTH 4E EEEE,64.95,,Brand New,Brand New
100,53,Nike Jordan 11 Retro Cherry 2022 (CT8012-116) Men's Size 7-12,250.0,,Brand New,Brand New
101,54,"Nike Air Jordan 1 Low Shoes ""True Blue"" White Cement Gray 553558-412 Men's NEW",139.9,,Brand New,Brand New
102,55,Nike Air Jordan 1 Mid Lucky Green White DQ8426-301 Mens New,100.0,,Brand New,Brand New
103,56,Nike Air Jordan 1 Low Wear-Away Shoes Yellow Black White DQ8422-001 Men's NEW,112.99,,Brand New,Brand New
104,57,Nike Air Jordan 1 Mid Bred Alternate Black Red DQ8426-060 Men’s or GS Shoes NEW,86.99,,Brand New,Brand New
105,58,Nike Ja 1 'Day One' Cobalt Bliss Citron Tint Size 7-13 DR8785-400 100% Authentic,164.99,,Brand New,Brand New
106,59,Nike Air Force 1 '07 Shoes Black White Panda DV0788-001 Men's Multi Size NEW,109.9,,Brand New,Brand New
107,60,Nike Air Jordan 1 Retro High OG Skyline DX0054-805 Mens New,133.0,,Brand New,Brand New
108,61,Nike Air Max 1 Shoes  Crepe Soft Grey White Gum FD5088-001 Men's NEW,133.19,,Brand New,Brand New
109,62,Nike Air Max 90 Shoes Triple Black White CN8490-003 Men's Multi Size NEW,114.9,,Brand New,Brand New
110,63,Nike Air Force 1 Low '07 Retro Color of the Month University Blue DM0576-400 New,108.7,,Brand New,Brand New
111,64,Nike Air Jordan 11 Retro Low Cement Grey White AV2187-140 Mens New,180.99,,Brand New,Brand New
112,65,Nike Air Max 90 Tunnel Walk Animal Pack DZ4839-001 Men's Shoes Size 8-13,109.95,,Brand New,Brand New
113,66,Sz 8-13 Nike Air Max Penny 1 One Orlando Black Varsity Royal White DN2487-001,199.99,,Brand New,Brand New
114,67,Nike Air Jordan 1 Mid Light Smoke Grey Black White Dior Size 7-12 554724-092,179.99,,Brand New,Brand New
